tx	gene_id	SRX17661462	SRX17661463	SRX17661464	SRX17661465	SRX17661466	SRX17661467	SRX17661468	SRX17661469	SRX17661470	SRX17661471	SRX17661472	SRX17661473	SRX17661474	SRX17661475	SRX17661476	SRX17661477	SRX17661478	SRX17661479	SRX17661480	SRX17661481	SRX17661482	SRX17661483	SRX17661484	SRX17661485	SRX17661486	SRX17661487	SRX17661488	SRX17661489	SRX17661490	SRX17661491	SRX17661492	SRX17661493	SRX17661494	SRX17661495	SRX17661496	SRX17661497	SRX17661498	SRX17661499	SRX17661500	SRX17661501	SRX17661502	SRX17661503	SRX17661504	SRX17661505	SRX17661506	SRX17661507	SRX17661508	SRX17661509	SRX3196051	SRX3196052
g9103.t1	g9103	66.956097	58.751869	114.468213	76.111258	60.626935	112.846012	63.854908	67.809593	76.821296	47.122028	41.0549	48.500395	56.154601	24.091667	20.89701	22.99714	26.955597	27.939329	30.87467	31.133366	45.441418	26.711391	20.751098	16.419369	23.243279	64.421478	54.320409	73.568212	17.779676	56.669621	62.457442	47.583934	63.426502	9.688326	26.788731	21.377955	25.202893	50.684541	46.937112	50.193557	26.410232	19.749164	21.970886	22.117926	59.458473	33.806531	52.481576	37.278461	20.605183	20.056214
g9104.t1	g9104	88.854245	50.79964	65.804617	80.666672	59.207328	64.703307	72.411161	39.352453	47.524167	28.516588	23.442735	31.742542	51.725852	3.181644	5.530638	4.062712	3.031419	41.101134	44.115879	21.163811	26.204761	15.682686	12.905602	21.205176	20.645439	68.284256	29.124985	36.979212	15.000349	35.307277	18.782436	31.6873	22.199378	18.85068	36.90024	13.37804	21.924436	18.752586	64.790414	64.218665	6.918639	6.054577	15.113787	13.92002	44.24328	47.946123	80.762219	62.322273	96.256376	72.427713
g9105.t1	g9105	0.614683	0.093495	0	0.236994	0.379457	0.612235	0.55885	0.755771	0.782648	2.350595	2.209085	2.743534	0.327514	0.108711	0.138419	0.287537	0	0	0	2.681826	1.63706	3.766595	0	0.725506	0	1.061423	2.384513	1.481331	0	1.135646	2.713922	2.482476	2.948088	5.834032	0	1.189922	0.432507	0	0.728997	1.221273	0	0.366951	0	0	2.625437	1.366368	0.254491	0	12.407892	2.14275
g9106.t1	g9106	0	0	0	0	0	0	0.277667	0	0	0	0	0	0	0	0.160338	0.951332	2.823391	1.277549	0	6.288476	10.613487	5.761046	0	1.23065	0	0	0	0	0	0	0	0	0	8.246646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g9107.t1	g9107	0.040611	0.133171	0	0.109923	0.095691	0.124506	0.037337	0.034299	0.218679	0.715217	0.44084	0.627036	1.905121	17.826008	3.552085	3.139995	7.038475	3.200674	2.262881	20.679413	19.464151	6.439079	4.100342	1.178087	10.015297	0.178695	0.535367	0.745624	0.089064	0.254714	0.549352	0.510321	1.049813	4.888492	4.093448	0.861607	7.544553	0.46027	4.219234	2.433734	1.785327	5.27847	3.182771	4.524855	2.627391	3.341861	1.482096	1.402075	0	0.386518
g9108.t1	g9108	1.449286	1.044979	2.111658	2.036945	2.322007	1.810457	2.922295	1.9383	2.062839	3.568771	3.607516	4.12211	6.314548	12.149639	9.473807	9.168101	9.270087	6.420066	7.77635	8.153739	3.7907	11.185141	13.394826	2.027058	4.60967	1.849687	3.794531	2.413159	0.433337	2.841554	1.33234	2.828993	1.938292	7.220637	10.088265	1.39846	4.450292	22.326744	6.365447	7.494749	15.463429	13.46109	10.708011	9.586919	3.120785	3.978305	1.489232	4.415806	0	1.271563
g9109.t1	g9109	0	0	0	0.657834	0.312141	0	1.643392	0.136816	1.429065	3.931002	7.700734	7.172348	31.499074	75.264981	45.383173	71.294832	54.756043	17.61198	15.18436	60.219738	18.61289	38.263248	18.99585	19.02156	12.044111	2.90745	0.971049	0	4.739546	0	2.226635	5.646464	9.634666	23.546069	15.851445	16.596743	20.211363	41.064255	14.51989	7.103741	56.856117	15.042132	16.850048	10.503149	11.592997	14.17013	4.202892	9.000617	0	0
g911.t1	g911	0	0	0	0	0.791908	0	0.269003	0	0	0	0	0	0	0	0.646368	1.81604	0	7.68705	15.464877	4.601291	19.619711	10.494913	1.735884	1.067207	0	0	0	6.282949	0	1.214524	2.820145	0	0	26.694218	0	3.540429	0	9.512753	0	0	0.900137	0	0	0	0	1.495997	1.092878	0	0	0
g9110.t1	g9110	2.122429	5.425175	9.09379	3.860971	3.625994	6.643569	1.437979	3.504455	2.778614	2.224569	3.240788	0.839378	4.32679	0	0.869396	1.610309	0	0	13.689659	9.853209	0	5.438361	4.615426	3.910313	2.61156	7.91415	2.696159	0	0	3.132642	0	2.990262	0	18.410523	0	6.983553	0	0	0	0	0	0	0.675768	0	0	5.954469	0	2.04219	0	0
g9111.t1	g9111	0	0	0	0	0	0	0.272769	0	0.068716	1.109742	1.357674	1.385698	3.318112	19.288027	10.846284	10.24519	14.70752	4.789351	6.763661	17.899781	7.216137	18.754911	4.001393	13.369587	4.415306	0	0	0.651167	0	0	0	0.798795	0	3.626663	8.486112	12.517403	22.382188	40.023123	3.840344	3.216112	14.011269	4.520826	4.515196	4.062174	2.049915	3.29932	2.012883	3.533598	0	0
