ptg000004l	I	37486	L	60	5	164
ptg000012l	I	7780967	R	60	1	126
ptg000017l	I	7792813	R	60	5826	198
ptg000024l	II	12806	R	60	-4	164
ptg000019l	II	18599	R	60	3	146
ptg000006l	II	187503	L	60	0	190
ptg000003l	II	8172954	R	1	-3	308
ptg000008l	III	61998	L	60	6	164
ptg000021l	III	7052313	R	60	0	187
ptg000018l	III	7104591	R	60	9385	228
ptg000026l	IV	1582	L	11	-3	151
ptg000020l	IV	73741	L	60	0	164
ptg000001l	IV	8349528	R	60	0	200
ptg000013l	IV	8376440	R	1	-2	215
ptg000015l	V	1	L	60	-6399	195
ptg000022l	V	38134	L	60	6	158
ptg000011l	V	6988866	R	60	0	178
ptg000009l	V	7007620	R	25	3792	114
ptg000016l	X	2964	L	23	-2	153
ptg000007l	X	142252	L	60	-1	186
ptg000002l	X	2337534	R	60	-5	206
ptg000005l	X	2434254	L	60	-1	208
ptg000010l	X	4766409	R	60	-1	188
ptg000023l	X	4778739	L	60	0	170
ptg000027l	X	9216275	R	60	-4	195
ptg000014l	X	9239004	R	60	2	270
ptg000025l	X	9242543	R	60	841	183
