Orthogroup	caenorhabditis_elegans.PRJNA13758	nxOscDolc1.1	nxOscOnir1.2	nxOscSper1.1	nxOscSpeu1.1	nxOscTipu1.1	Total
OG0000155	4	7	7	1	4	3	26
OG0000156	7	4	4	3	4	4	26
OG0000157	1	10	0	2	12	1	26
OG0000158	0	26	0	0	0	0	26
OG0000159	0	4	5	6	2	9	26
OG0000160	0	12	7	1	4	2	26
OG0000161	0	8	1	6	10	1	26
OG0000162	0	26	0	0	0	0	26
OG0000163	0	8	4	2	10	2	26
OG0000164	0	0	11	2	5	8	26
OG0000165	0	0	1	14	1	10	26
OG0000166	2	6	3	5	5	4	25
OG0000167	1	1	6	2	11	4	25
OG0000168	3	5	4	4	4	5	25
OG0000169	3	4	4	4	4	6	25
OG0000170	2	6	3	4	7	3	25
OG0000171	5	5	4	2	8	1	25
OG0000172	2	5	3	2	9	4	25
OG0000173	5	9	2	1	6	2	25
OG0000174	5	5	3	3	6	3	25
OG0000175	1	5	6	3	4	6	25
OG0000176	3	7	3	5	4	3	25
OG0000177	4	7	4	2	4	4	25
OG0000178	2	6	5	4	4	4	25
OG0000179	0	25	0	0	0	0	25
OG0000180	0	9	3	5	6	2	25
OG0000181	0	0	0	0	25	0	25
OG0000182	2	2	7	4	5	4	24
OG0000183	4	5	4	2	5	4	24
OG0000184	2	4	8	4	3	3	24
OG0000185	5	5	5	3	3	3	24
OG0000186	24	0	0	0	0	0	24
OG0000187	2	8	6	0	4	4	24
OG0000188	1	1	2	1	1	18	24
OG0000189	0	21	1	0	1	1	24
OG0000190	0	3	5	5	5	6	24
OG0000191	0	24	0	0	0	0	24
OG0000192	0	5	4	6	5	4	24
OG0000193	0	22	1	0	0	1	24
OG0000194	0	22	0	0	1	1	24
OG0000195	0	14	4	0	3	3	24
OG0000196	0	21	0	0	3	0	24
OG0000197	0	2	0	20	2	0	24
OG0000198	0	0	10	0	14	0	24
OG0000199	0	0	0	23	1	0	24
OG0000200	4	3	4	3	4	5	23
OG0000201	5	5	1	3	5	4	23
OG0000202	4	4	4	4	4	3	23
OG0000203	1	1	6	6	2	7	23
OG0000204	2	8	3	2	3	5	23
OG0000205	3	4	4	4	4	4	23
OG0000206	23	0	0	0	0	0	23
OG0000207	1	6	3	5	6	2	23
OG0000208	10	0	8	2	2	1	23
OG0000209	1	6	4	3	4	5	23
OG0000210	0	6	3	2	9	3	23
OG0000211	0	13	4	0	1	5	23
OG0000212	0	5	4	4	6	4	23
OG0000213	0	7	5	3	2	6	23
OG0000214	0	7	5	2	4	5	23
OG0000215	0	5	3	2	9	4	23
OG0000216	0	12	6	0	2	3	23
OG0000217	0	11	2	5	3	2	23
OG0000218	0	1	2	0	1	19	23
OG0000219	0	0	1	0	17	5	23
OG0000220	4	6	3	3	3	3	22
OG0000221	1	4	6	4	3	4	22
OG0000222	1	2	4	2	10	3	22
OG0000223	6	4	1	4	5	2	22
OG0000224	1	6	4	3	4	4	22
OG0000225	3	6	4	3	4	2	22
OG0000226	22	0	0	0	0	0	22
OG0000227	22	0	0	0	0	0	22
OG0000228	3	5	3	3	4	4	22
OG0000229	1	1	2	1	15	2	22
OG0000230	0	6	5	2	4	5	22
OG0000231	0	13	4	0	3	2	22
OG0000232	0	20	1	0	0	1	22
OG0000233	0	0	10	0	1	11	22
OG0000234	0	0	0	22	0	0	22
OG0000235	3	4	4	2	4	4	21
OG0000236	2	4	4	3	4	4	21
OG0000237	21	0	0	0	0	0	21
OG0000238	2	1	12	3	1	2	21
OG0000239	1	2	4	3	6	5	21
OG0000240	5	3	3	3	4	3	21
OG0000241	5	4	3	3	3	3	21
OG0000242	3	4	5	4	1	4	21
OG0000243	1	4	5	2	5	4	21
OG0000244	2	4	4	3	4	4	21
OG0000245	1	3	4	4	5	4	21
OG0000246	1	9	3	2	4	2	21
OG0000247	1	5	3	5	4	3	21
OG0000248	4	2	4	1	4	6	21
OG0000249	1	20	0	0	0	0	21
OG0000250	1	7	3	2	6	2	21
OG0000251	1	6	6	0	5	3	21
OG0000252	0	12	2	0	5	2	21
OG0000253	0	4	0	7	6	4	21
OG0000254	0	3	4	5	3	6	21
OG0000255	0	21	0	0	0	0	21
OG0000256	0	0	21	0	0	0	21
OG0000257	2	4	4	3	3	4	20
OG0000258	1	3	4	2	4	6	20
OG0000259	3	4	4	2	1	6	20
OG0000260	8	1	5	1	3	2	20
OG0000261	1	5	4	2	4	4	20
OG0000262	20	0	0	0	0	0	20
OG0000263	15	0	2	0	3	0	20
OG0000264	4	4	4	2	2	4	20
OG0000265	20	0	0	0	0	0	20
OG0000266	20	0	0	0	0	0	20
OG0000267	5	6	1	3	4	1	20
OG0000268	8	1	2	6	3	0	20
OG0000269	2	6	4	1	4	3	20
OG0000270	15	1	1	1	1	1	20
OG0000271	1	4	3	3	4	5	20
OG0000272	5	4	3	3	2	3	20
OG0000273	1	3	5	1	6	4	20
OG0000274	3	3	4	3	3	4	20
OG0000275	19	1	0	0	0	0	20
OG0000276	2	7	3	2	3	3	20
OG0000277	1	8	3	2	3	3	20
OG0000278	0	12	1	1	3	3	20
OG0000279	0	2	1	2	12	3	20
OG0000280	0	10	1	2	4	3	20
OG0000281	0	6	7	2	1	4	20
OG0000282	0	12	1	3	3	1	20
OG0000283	0	4	3	5	5	3	20
OG0000284	0	4	5	1	9	1	20
OG0000285	0	1	13	1	1	4	20
OG0000286	0	0	0	0	20	0	20
OG0000287	0	0	0	0	20	0	20
OG0000288	1	2	5	3	3	5	19
OG0000289	2	3	4	3	3	4	19
OG0000290	3	2	3	2	6	3	19
OG0000291	1	2	5	2	3	6	19
OG0000292	1	2	3	3	2	8	19
OG0000293	3	3	4	3	3	3	19
OG0000294	8	1	2	2	2	4	19
OG0000295	2	3	4	3	3	4	19
OG0000296	19	0	0	0	0	0	19
OG0000297	4	3	3	2	3	4	19
OG0000298	7	3	2	3	2	2	19
OG0000299	5	3	3	2	3	3	19
OG0000300	19	0	0	0	0	0	19
OG0000301	2	2	4	3	5	3	19
OG0000302	2	2	5	2	3	5	19
OG0000303	5	5	2	2	4	1	19
OG0000304	2	3	4	2	4	4	19
OG0000305	1	4	7	0	3	4	19
OG0000306	2	7	2	3	2	3	19
OG0000307	2	2	5	2	3	5	19
OG0000308	4	5	5	1	3	1	19
OG0000309	2	9	3	1	2	2	19
OG0000310	1	0	7	0	3	8	19
OG0000311	1	3	1	2	11	1	19
OG0000312	1	5	3	3	4	3	19
OG0000313	1	5	2	3	6	2	19
OG0000314	1	7	0	4	7	0	19
OG0000315	0	1	8	2	4	4	19
OG0000316	0	12	0	5	2	0	19
OG0000317	0	7	5	1	3	3	19
OG0000318	0	4	4	3	5	3	19
OG0000319	0	6	1	9	3	0	19
OG0000320	0	7	6	2	1	3	19
OG0000321	0	1	4	1	2	11	19
OG0000322	0	0	0	0	19	0	19
OG0000323	0	0	0	0	19	0	19
OG0000324	0	0	0	0	18	1	19
OG0000325	0	0	0	0	19	0	19
OG0000326	1	4	6	1	4	2	18
OG0000327	3	2	4	4	2	3	18
OG0000328	18	0	0	0	0	0	18
OG0000329	18	0	0	0	0	0	18
OG0000330	6	2	7	1	1	1	18
OG0000331	2	3	3	1	5	4	18
OG0000332	4	3	4	1	2	4	18
OG0000333	17	1	0	0	0	0	18
OG0000334	3	3	3	3	3	3	18
OG0000335	18	0	0	0	0	0	18
OG0000336	18	0	0	0	0	0	18
OG0000337	18	0	0	0	0	0	18
OG0000338	18	0	0	0	0	0	18
OG0000339	9	1	4	1	0	3	18
OG0000340	18	0	0	0	0	0	18
OG0000341	1	5	4	2	3	3	18
OG0000342	18	0	0	0	0	0	18
OG0000343	18	0	0	0	0	0	18
OG0000344	3	3	3	3	3	3	18
OG0000345	3	3	3	3	3	3	18
OG0000346	1	11	1	1	2	2	18
OG0000347	5	9	1	0	2	1	18
OG0000348	1	3	3	3	5	3	18
OG0000349	5	3	3	1	3	3	18
OG0000350	2	3	6	2	3	2	18
OG0000351	2	4	3	2	5	2	18
OG0000352	1	4	4	3	3	3	18
OG0000353	3	3	3	2	3	4	18
OG0000354	1	3	3	4	3	4	18
OG0000355	0	2	3	3	6	4	18
OG0000356	0	8	5	1	1	3	18
OG0000357	0	9	3	2	1	3	18
